category,pokemon_name,count,description
OVERLAPPING,genesect,1.0,Has both stats and images
OVERLAPPING,gengar,1.0,Has both stats and images
OVERLAPPING,geodude,1.0,Has both stats and images
OVERLAPPING,gible,1.0,Has both stats and images
OVERLAPPING,gigalith,1.0,Has both stats and images
OVERLAPPING,girafarig,1.0,Has both stats and images
OVERLAPPING,giratina,1.0,Has both stats and images
OVERLAPPING,glaceon,1.0,Has both stats and images
OVERLAPPING,glalie,1.0,Has both stats and images
OVERLAPPING,glameow,1.0,Has both stats and images
OVERLAPPING,gligar,1.0,Has both stats and images
OVERLAPPING,gliscor,1.0,Has both stats and images
OVERLAPPING,gloom,1.0,Has both stats and images
OVERLAPPING,gogoat,1.0,Has both stats and images
OVERLAPPING,golbat,1.0,Has both stats and images
OVERLAPPING,goldeen,1.0,Has both stats and images
OVERLAPPING,golduck,1.0,Has both stats and images
OVERLAPPING,golem,1.0,Has both stats and images
OVERLAPPING,golett,1.0,Has both stats and images
OVERLAPPING,golisopod,1.0,Has both stats and images
OVERLAPPING,golurk,1.0,Has both stats and images
OVERLAPPING,goodra,1.0,Has both stats and images
OVERLAPPING,goomy,1.0,Has both stats and images
OVERLAPPING,gorebyss,1.0,Has both stats and images
OVERLAPPING,gothita,1.0,Has both stats and images
OVERLAPPING,gothitelle,1.0,Has both stats and images
OVERLAPPING,gothorita,1.0,Has both stats and images
OVERLAPPING,gourgeist,1.0,Has both stats and images
OVERLAPPING,granbull,1.0,Has both stats and images
OVERLAPPING,graveler,1.0,Has both stats and images
OVERLAPPING,greninja,1.0,Has both stats and images
OVERLAPPING,grimer,1.0,Has both stats and images
OVERLAPPING,grotle,1.0,Has both stats and images
OVERLAPPING,groudon,1.0,Has both stats and images
OVERLAPPING,grovyle,1.0,Has both stats and images
OVERLAPPING,growlithe,1.0,Has both stats and images
OVERLAPPING,grubbin,1.0,Has both stats and images
OVERLAPPING,grumpig,1.0,Has both stats and images
OVERLAPPING,gulpin,1.0,Has both stats and images
OVERLAPPING,gumshoos,1.0,Has both stats and images
OVERLAPPING,gurdurr,1.0,Has both stats and images
OVERLAPPING,gyarados,1.0,Has both stats and images
OVERLAPPING,happiny,1.0,Has both stats and images
OVERLAPPING,hariyama,1.0,Has both stats and images
OVERLAPPING,haunter,1.0,Has both stats and images
OVERLAPPING,hawlucha,1.0,Has both stats and images
OVERLAPPING,haxorus,1.0,Has both stats and images
OVERLAPPING,heatmor,1.0,Has both stats and images
OVERLAPPING,heatran,1.0,Has both stats and images
OVERLAPPING,heliolisk,1.0,Has both stats and images
OVERLAPPING,helioptile,1.0,Has both stats and images
OVERLAPPING,heracross,1.0,Has both stats and images
OVERLAPPING,herdier,1.0,Has both stats and images
OVERLAPPING,hippopotas,1.0,Has both stats and images
OVERLAPPING,hippowdon,1.0,Has both stats and images
OVERLAPPING,hitmonchan,1.0,Has both stats and images
OVERLAPPING,hitmonlee,1.0,Has both stats and images
OVERLAPPING,hitmontop,1.0,Has both stats and images
OVERLAPPING,honchkrow,1.0,Has both stats and images
OVERLAPPING,honedge,1.0,Has both stats and images
OVERLAPPING,hoopa,1.0,Has both stats and images
OVERLAPPING,hoothoot,1.0,Has both stats and images
OVERLAPPING,hoppip,1.0,Has both stats and images
OVERLAPPING,horsea,1.0,Has both stats and images
OVERLAPPING,houndoom,1.0,Has both stats and images
OVERLAPPING,houndour,1.0,Has both stats and images
OVERLAPPING,huntail,1.0,Has both stats and images
OVERLAPPING,hydreigon,1.0,Has both stats and images
OVERLAPPING,hypno,1.0,Has both stats and images
OVERLAPPING,igglybuff,1.0,Has both stats and images
OVERLAPPING,illumise,1.0,Has both stats and images
OVERLAPPING,incineroar,1.0,Has both stats and images
